,Unnamed: 0,FID,pkuid,utm-easting,utm-northing,Area,type,feature,genus,property-1,property-2
54,54,54,55,626873.0796,1014020.237,830,Foraging & Travel connection,Travel connection,G3 & G1,R1 & R2,T3 & T2 & T1
55,55,55,56,626895.3369,1014001.767,300,Travel connection,Travel connection & Nesting Site & Foraging,G3,R1 & R2,T2 & T3 & T1
56,56,56,57,626982.5712,1014038.831,296,Travel connection & Nesting Site,Travel connection,G3,R3 & R1,T3
57,57,57,58,627057.2033,1014388.237,421,Foraging & Nesting Site,Foraging,G1,R1 & R2 & R3,T2 & T3 & T1
58,58,58,59,627023.3804,1014286.404,807,Foraging & Travel connection,Foraging,G2,R3 & R1 & R2,T3 & T2 & T1
59,59,59,60,627035.2923,1014316.314,"1,629",Foraging,Nesting Site & Travel connection,G1 & G3,R3 & R1 & R2,T3 & T1 & T2
60,60,60,61,627176.1434,1014196.957,271,Nesting Site & Travel connection,Nesting Site,G2,R2,T3 & T1
61,61,61,62,627466.338,1014015.521,299,Travel connection,Foraging & Nesting Site,G3 & G2,R3 & R1 & R2,T3 & T2
62,62,62,63,627460.3399,1013991.142,86,Nesting Site,Travel connection & Foraging & Nesting Site,G2 & G1,R2 & R3 & R1,T1 & T3
63,63,63,64,627583.963,1014167.325,299,Foraging,Nesting Site & Travel connection & Foraging,G2 & G3 & G1,R1 & R3,T3 & T2
64,64,64,65,627571.0495,1014137.32,159,Nesting Site,Foraging,G2,R3,T1 & T3 & T2
65,65,65,66,627537.3597,1014166.633,222,Travel connection & Nesting Site & Foraging,Foraging & Travel connection,G1 & G3,R3 & R2,T3 & T1
66,66,66,67,627543.8729,1014144.435,129,Nesting Site,Nesting Site & Foraging & Travel connection,G2 & G3,R3 & R1,T2 & T1 & T3
67,67,67,68,627529.377,1014123.692,419,Travel connection,Nesting Site & Travel connection,G2,R2,T2 & T1 & T3
68,68,68,69,627516.811,1014097.744,336,Foraging & Travel connection,Foraging,G2 & G3,R3 & R2 & R1,T1 & T3 & T2
69,69,69,70,627537.4909,1014096.368,274,Travel connection & Nesting Site & Foraging,Travel connection & Foraging,G3,R2,T2
70,70,70,71,627553.348,1014059.69,214,Travel connection & Foraging,Travel connection & Foraging & Nesting Site,G3 & G2,R2,T3 & T2
71,71,71,72,627600.0058,1014050.312,86,Travel connection,Travel connection,G3 & G1 & G2,R1 & R3,T1 & T2 & T3
72,72,72,73,627590.9452,1014043.65,52,Travel connection & Foraging,Foraging & Nesting Site & Travel connection,G3 & G1,R3 & R1 & R2,T3
73,73,73,74,627916.9178,1014028.73,322,Travel connection,Travel connection & Foraging,G3,R2 & R1 & R3,T3 & T2
74,74,74,75,624329.3604,1013947.683,336,Foraging & Travel connection,Foraging & Travel connection,G2,R1 & R2 & R3,T2 & T1
75,75,75,76,624304.0258,1013996.139,260,Travel connection & Foraging & Nesting Site,Travel connection,G2 & G3 & G1,R1,T3 & T2 & T1
76,76,76,77,624269.2069,1013970.222,545,Nesting Site & Travel connection,Foraging & Nesting Site & Travel connection,G2 & G1 & G3,R3 & R1,T2 & T1 & T3
77,77,77,78,624394.6096,1013901.469,366,Nesting Site & Travel connection,Nesting Site & Foraging & Travel connection,G1,R1 & R3,T1 & T3
78,78,78,79,624445.8012,1014000.424,105,Nesting Site,Foraging & Nesting Site,G3 & G1,R1,T1
79,79,79,80,624561.2691,1013927.755,482,Foraging,Travel connection & Nesting Site & Foraging,G3 & G2 & G1,R1,T3 & T1
80,80,80,81,624533.9024,1013900.286,279,Foraging & Travel connection,Foraging & Nesting Site & Travel connection,G1 & G2,R2 & R1,T3 & T1 & T2
81,81,81,82,624627.5209,1013898.322,439,Travel connection,Travel connection & Nesting Site & Foraging,G3,R1 & R2 & R3,T2 & T3 & T1
82,82,82,83,624734.1634,1013884.326,671,Nesting Site,Nesting Site,G1 & G2 & G3,R3 & R2 & R1,T3 & T2
83,83,83,84,624744.6733,1013904.987,393,Travel connection & Foraging & Nesting Site,Nesting Site & Travel connection & Foraging,G2 & G1 & G3,R2 & R3,T2 & T3
84,84,84,85,624697.9122,1013826.689,222,Foraging,Travel connection & Foraging,G3 & G2 & G1,R1,T1 & T2
85,85,85,86,624735.4064,1013842.811,440,Nesting Site,Nesting Site,G1 & G2,R3 & R2 & R1,T3 & T2
86,86,86,87,624765.0447,1013846.025,500,Foraging,Travel connection & Nesting Site & Foraging,G3 & G2 & G1,R2 & R1 & R3,T3 & T2 & T1
87,87,87,88,624791.6228,1013826.285,357,Travel connection & Nesting Site,Nesting Site & Travel connection,G2,R3,T3 & T1
88,88,88,89,624794.7426,1013849.076,767,Travel connection & Foraging & Nesting Site,Travel connection & Nesting Site & Foraging,G2 & G3 & G1,R3 & R2 & R1,T3 & T2
89,89,89,90,624768.1315,1013787.637,396,Travel connection & Nesting Site & Foraging,Travel connection,G2 & G3 & G1,R3,T3
90,90,90,91,624813.7748,1013763.99,245,Nesting Site,Foraging & Nesting Site,G1 & G2,R1 & R2,T2 & T3
91,91,91,92,624846.5268,1013841.601,158,Foraging,Foraging,G3 & G2 & G1,R3 & R1,T2 & T3 & T1
92,92,92,93,624883.1451,1013921.112,325,Foraging,Travel connection & Foraging,G3 & G2 & G1,R3 & R1,T2
93,93,93,94,624798.9476,1013731.222,225,Foraging & Travel connection,Travel connection & Nesting Site & Foraging,G3,R3,T3
94,94,94,95,624820.4627,1013711.208,154,Nesting Site & Foraging,Foraging,G3,R2,T2
95,95,95,96,624816.6121,1013692.169,415,Travel connection,Nesting Site,G3 & G1 & G2,R3 & R2,T1
96,96,96,97,624777.1558,1013701.216,216,Nesting Site & Travel connection & Foraging,Travel connection & Foraging,G3,R3 & R2 & R1,T3 & T2
97,97,97,98,624759.4237,1013708.243,500,Nesting Site & Foraging,Foraging & Nesting Site & Travel connection,G1 & G2,R3 & R2 & R1,T2
98,98,98,99,624780.5152,1013678.724,316,Travel connection & Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G3 & G2,R1 & R3,T3
99,99,99,100,624763.0475,1013689.41,170,Foraging & Travel connection,Nesting Site & Travel connection & Foraging,G3,R2 & R3 & R1,T2 & T1
100,100,100,101,624761.4218,1013671.528,369,Foraging & Nesting Site & Travel connection,Travel connection,G2 & G1 & G3,R1,T3
101,101,101,102,624726.1452,1013693.906,119,Foraging,Foraging & Nesting Site & Travel connection,G3,R2 & R1 & R3,T1
102,102,102,103,624692.4442,1013682.146,245,Travel connection & Nesting Site & Foraging,Nesting Site & Travel connection & Foraging,G2 & G1,R3 & R2,T2 & T1
103,103,103,104,624710.1612,1013680.028,234,Foraging & Nesting Site & Travel connection,Nesting Site & Travel connection & Foraging,G1 & G2,R2,T1 & T2 & T3
104,104,104,105,624720.3118,1013669.583,360,Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G2 & G3,R1,T1
105,105,105,106,624704.6975,1013622.747,499,Nesting Site & Travel connection & Foraging,Nesting Site & Foraging & Travel connection,G3,R3 & R1 & R2,T1 & T2
106,106,106,107,624749.3167,1013626.031,535,Nesting Site & Foraging,Travel connection & Nesting Site & Foraging,G1,R3 & R1,T2 & T3
107,107,107,108,624670.7593,1013558.627,374,Foraging & Nesting Site,Nesting Site & Foraging,G3 & G1 & G2,R1 & R2 & R3,T3 & T2
108,108,108,109,624627.7223,1013590.451,367,Travel connection & Nesting Site & Foraging,Nesting Site & Foraging & Travel connection,G1 & G3 & G2,R3,T1
109,109,109,110,624671.5906,1013616.087,139,Foraging,Nesting Site,G1,R2,T2 & T1
110,110,110,111,624621.3299,1013629.734,217,Travel connection & Foraging & Nesting Site,Foraging,G3,R3 & R1 & R2,T1
111,111,111,112,624598.8864,1013615.3,529,Nesting Site & Foraging & Travel connection,Foraging & Nesting Site,G3 & G1,R1 & R2 & R3,T1
112,112,112,113,624616.9145,1013613.372,164,Foraging & Travel connection & Nesting Site,Foraging & Nesting Site & Travel connection,G2 & G3 & G1,R2,T3 & T1
113,113,113,114,624580.5631,1013680.277,166,Travel connection,Foraging & Travel connection & Nesting Site,G3 & G1 & G2,R3,T1
114,114,114,115,624726.827,1013574.321,491,Travel connection & Nesting Site & Foraging,Travel connection & Nesting Site & Foraging,G2 & G3 & G1,R3 & R1,T3 & T1 & T2
115,115,115,116,624796.4774,1013593.319,86,Nesting Site,Foraging & Travel connection,G2,R1,T1
116,116,116,117,624815.5624,1013605.18,288,Foraging,Travel connection & Foraging,G2 & G3,R3,T3 & T2 & T1
117,117,117,118,624857.9079,1013598.958,380,Travel connection & Foraging,Travel connection & Foraging,G3,R1 & R3,T3 & T2 & T1
118,118,118,119,624830.496,1013541.854,444,Nesting Site,Travel connection & Nesting Site,G3,R2 & R1 & R3,T3 & T2
119,119,119,120,624848.6764,1013573.467,446,Travel connection & Nesting Site,Travel connection & Nesting Site & Foraging,G1 & G3,R2 & R3 & R1,T1 & T2
120,120,120,121,624805.3537,1013513.725,495,Travel connection & Nesting Site,Foraging & Travel connection & Nesting Site,G1 & G2,R2 & R1,T1 & T3 & T2
121,121,121,122,624694.7867,1013729.248,416,Travel connection & Foraging & Nesting Site,Travel connection & Foraging & Nesting Site,G3 & G2,R1 & R2,T1 & T3
122,122,122,123,624856.6786,1013497.754,649,Travel connection,Nesting Site & Foraging,G3 & G2,R2,T3
123,123,123,124,624938.502,1013530.871,488,Foraging & Travel connection & Nesting Site,Foraging,G2 & G1,R3 & R2,T2 & T1
124,124,124,125,624956.1541,1013560.819,221,Travel connection,Travel connection & Nesting Site,G1 & G3,R3 & R2,T3 & T2
125,125,125,126,624971.6376,1013550.581,300,Nesting Site,Foraging & Travel connection,G2,R2 & R1,T2 & T3 & T1
126,126,126,127,624986.1475,1013525.463,352,Foraging & Nesting Site,Travel connection & Foraging,G1 & G2 & G3,R3,T1 & T2 & T3
127,127,127,128,625004.4137,1013530.936,272,Foraging & Travel connection,Nesting Site & Travel connection,G2 & G3 & G1,R2 & R3,T2
128,128,128,129,624890.4595,1013638.003,293,Nesting Site & Travel connection & Foraging,Foraging & Travel connection,G1 & G3 & G2,R2,T1 & T2
129,129,129,130,624853.3015,1013651.351,222,Travel connection & Foraging,Foraging & Nesting Site,G2,R1 & R2 & R3,T1 & T2 & T3
130,130,130,131,624947.9614,1013701.186,422,Nesting Site & Travel connection & Foraging,Travel connection,G2,R3 & R2,T1 & T3
131,131,131,132,624915.7144,1013738.217,298,Foraging,Travel connection,G3 & G2,R3 & R2 & R1,T1 & T2 & T3
132,132,132,133,624845.001,1013710.061,94,Travel connection & Nesting Site & Foraging,Foraging,G2 & G3 & G1,R3,T2 & T3 & T1
133,133,133,134,624693.372,1013795.509,599,Nesting Site & Travel connection,Nesting Site & Foraging & Travel connection,G1 & G2 & G3,R2,T3 & T1
134,134,134,135,625024.3984,1013537.755,748,Foraging & Travel connection,Nesting Site,G1,R1,T3 & T1
135,135,135,136,625040.5486,1013529.022,453,Travel connection & Foraging & Nesting Site,Travel connection & Nesting Site,G2 & G3 & G1,R2 & R3 & R1,T1 & T2 & T3
136,136,136,137,625569.3612,1013765.226,148,Nesting Site & Foraging & Travel connection,Foraging & Nesting Site,G1 & G2 & G3,R1 & R3,T2 & T1 & T3
137,137,137,138,625584.4323,1013747.215,132,Travel connection & Foraging,Nesting Site & Foraging,G2,R1,T2 & T1 & T3
138,138,138,139,625586.2275,1013732.451,249,Foraging & Travel connection & Nesting Site,Foraging,G1 & G2,R2,T1 & T2 & T3
139,139,139,140,625582.6887,1013574.005,"1,111",Foraging,Travel connection,G3,R2 & R1 & R3,T3 & T2
140,140,140,141,625583.2638,1013595.882,75,Travel connection & Nesting Site & Foraging,Foraging & Travel connection & Nesting Site,G3 & G2 & G1,R3 & R1 & R2,T2 & T3
141,141,141,142,625521.3012,1013619.941,422,Travel connection & Foraging,Nesting Site & Foraging,G3,R2 & R1 & R3,T1
142,142,142,143,625572.0984,1013670.694,717,Foraging,Travel connection,G2 & G3 & G1,R1 & R3 & R2,T3
143,143,143,144,625686.2469,1013662.385,788,Foraging & Nesting Site,Foraging,G2,R3 & R2 & R1,T2 & T3
144,144,144,145,625744.9775,1013622.805,100,Foraging & Travel connection,Foraging & Travel connection,G2,R2 & R1 & R3,T2 & T1
145,145,145,146,625568.1713,1013509.092,607,Nesting Site & Travel connection & Foraging,Travel connection & Foraging & Nesting Site,G3 & G2 & G1,R2 & R1,T1
146,146,146,147,625763.0917,1013574.263,329,Foraging & Nesting Site & Travel connection,Travel connection & Foraging,G3 & G1 & G2,R2 & R3,T2
147,147,147,148,625784.473,1013727.161,253,Travel connection,Travel connection & Nesting Site & Foraging,G1 & G3,R1 & R2,T1 & T2
148,148,148,149,625811.9993,1013752.817,360,Nesting Site & Travel connection,Nesting Site & Travel connection & Foraging,G2 & G3 & G1,R2 & R1,T2
149,149,149,150,625767.863,1013949.921,151,Travel connection & Foraging & Nesting Site,Foraging & Nesting Site,G3,R3,T2 & T1 & T3
150,150,150,151,625817.2514,1013943.172,108,Foraging,Travel connection,G2,R2 & R1,T3
151,151,151,152,625858.1138,1013973.209,212,Travel connection & Foraging,Foraging,G3,R1 & R2,T1 & T3 & T2
152,152,152,153,625821.626,1013961.975,384,Travel connection,Travel connection,G3,R3,T1
153,153,153,154,625982.6626,1013894.365,234,Travel connection,Foraging & Nesting Site & Travel connection,G1,R2 & R3 & R1,T1 & T2
154,154,154,155,626136.9369,1013915.41,289,Foraging & Travel connection & Nesting Site,Travel connection & Nesting Site,G2 & G3,R1,T2 & T1
155,155,155,156,626185.2524,1013907.191,84,Foraging & Nesting Site,Travel connection & Foraging & Nesting Site,G3 & G1,R3 & R1 & R2,T2 & T3 & T1
156,156,156,157,626312.6574,1013894.941,202,Foraging,Nesting Site & Foraging,G3 & G1 & G2,R2,T3 & T2 & T1
157,157,157,158,626488.5929,1013937.397,131,Travel connection,Foraging & Nesting Site & Travel connection,G3,R3 & R2 & R1,T3 & T2
158,158,158,159,626310.5158,1013846.34,176,Nesting Site & Travel connection & Foraging,Foraging & Travel connection & Nesting Site,G1,R3,T1 & T3
159,159,159,160,626030.3128,1013861.421,172,Nesting Site & Travel connection & Foraging,Nesting Site,G1 & G3,R3 & R1,T3 & T1
160,160,160,161,626256.8945,1013627.287,279,Travel connection & Foraging & Nesting Site,Nesting Site & Foraging,G3,R3 & R1 & R2,T2 & T1 & T3
161,161,161,162,626267.9555,1013641.097,114,Travel connection & Nesting Site,Travel connection,G3,R1 & R2 & R3,T1 & T2 & T3
162,162,162,163,626435.9858,1013643.584,140,Travel connection & Foraging & Nesting Site,Travel connection,G1,R2 & R3,T2
163,163,163,164,626301.2249,1013577.428,482,Foraging & Travel connection,Foraging & Travel connection & Nesting Site,G1,R1 & R2,T2 & T1 & T3
164,164,164,165,626186.2689,1013650.369,216,Travel connection,Travel connection & Foraging & Nesting Site,G1,R1 & R2 & R3,T3 & T1 & T2
165,165,165,166,626878.7407,1013847.09,115,Nesting Site & Travel connection,Travel connection,G1 & G2,R1,T2 & T1 & T3
166,166,166,167,626019.3237,1013603.633,56,Travel connection,Foraging,G1,R3 & R1 & R2,T3 & T1 & T2
167,167,167,168,626019.1946,1013518.059,131,Foraging & Nesting Site,Nesting Site & Travel connection,G3 & G2 & G1,R2 & R3 & R1,T1
168,168,168,169,626743.2646,1013881.416,240,Nesting Site & Foraging & Travel connection,Travel connection & Foraging,G2,R3,T2
169,169,169,170,626891.9508,1013783.717,133,Nesting Site & Travel connection,Travel connection & Nesting Site,G3 & G2,R3 & R2,T3 & T1 & T2
170,170,170,171,626685.4069,1013720.078,612,Nesting Site & Foraging & Travel connection,Travel connection & Foraging & Nesting Site,G3 & G1 & G2,R1,T3 & T2 & T1
171,171,171,172,626796.0458,1013816.299,294,Foraging,Nesting Site & Travel connection,G3,R2 & R3,T2
172,172,172,173,626759.2851,1013829.172,165,Nesting Site & Foraging & Travel connection,Foraging,G2,R2 & R3,T1
173,173,173,174,626738.9815,1013777.948,271,Nesting Site,Foraging & Travel connection,G3 & G2 & G1,R2,T2 & T3 & T1
174,174,174,175,626664.384,1013714.742,168,Travel connection & Foraging & Nesting Site,Travel connection & Nesting Site,G2 & G3,R2,T1 & T2 & T3
175,175,175,176,626655.371,1013707.417,175,Travel connection & Nesting Site,Foraging & Travel connection,G1 & G3,R3,T2 & T3
176,176,176,177,626771.1167,1013756.021,108,Travel connection & Foraging & Nesting Site,Nesting Site & Foraging & Travel connection,G3 & G1,R3 & R2 & R1,T3
177,177,177,178,626786.7226,1013742.016,119,Nesting Site,Travel connection & Nesting Site & Foraging,G3,R3 & R1,T1 & T3 & T2
178,178,178,179,626638.5925,1013578.242,265,Travel connection,Nesting Site & Travel connection,G3,R1 & R3 & R2,T2 & T1
179,179,179,180,626928.8518,1013644.779,615,Nesting Site,Nesting Site & Travel connection,G1 & G2,R3,T2 & T3
180,180,180,181,626544.6584,1013535.035,292,Nesting Site,Nesting Site & Foraging & Travel connection,G3 & G1 & G2,R2,T2
181,181,181,182,626559.6396,1013521.9,56,Foraging,Nesting Site,G3 & G1 & G2,R3 & R2 & R1,T1 & T2
182,182,182,183,626623.681,1013544.718,208,Travel connection & Foraging,Nesting Site & Travel connection,G1 & G2 & G3,R2 & R3,T1 & T3
183,183,183,184,626705.8687,1013574.025,505,Nesting Site & Foraging,Foraging & Travel connection & Nesting Site,G3,R3 & R2 & R1,T2 & T1 & T3
184,184,184,185,626864.6188,1013517.333,370,Travel connection & Foraging & Nesting Site,Nesting Site & Travel connection & Foraging,G3,R3 & R1 & R2,T1 & T2 & T3
185,185,185,186,627123.205,1013707.651,367,Travel connection & Foraging,Travel connection & Nesting Site & Foraging,G1 & G2,R2 & R1,T3 & T2
186,186,186,187,627133.6172,1013690.702,347,Travel connection & Nesting Site,Nesting Site & Foraging,G3,R3 & R2,T1 & T3 & T2
187,187,187,188,627485.145,1013631.881,305,Foraging & Travel connection & Nesting Site,Nesting Site & Foraging,G2 & G1,R2 & R1,T3
188,188,188,189,627174.0437,1013899.721,493,Foraging & Travel connection,Nesting Site & Travel connection,G1 & G3,R3 & R1,T2
189,189,189,190,627036.769,1013683.741,617,Foraging & Nesting Site,Foraging & Nesting Site,G3 & G2,R3,T2
190,190,190,191,627238.0471,1013708.792,162,Nesting Site,Travel connection & Nesting Site,G3 & G2,R3,T3
191,191,191,192,627215.7128,1013662.069,172,Foraging & Nesting Site & Travel connection,Nesting Site,G2 & G1,R2 & R1,T2 & T1
192,192,192,193,627406.1648,1013608.264,175,Nesting Site & Travel connection & Foraging,Nesting Site,G3,R3,T1 & T3
193,193,193,194,627356.5459,1013632.919,452,Foraging,Nesting Site & Travel connection & Foraging,G3 & G2 & G1,R1 & R3,T1
194,194,194,195,627376.3111,1013591.235,302,Travel connection & Foraging & Nesting Site,Foraging,G2 & G3,R1 & R2,T1 & T2
195,195,195,196,627375.7333,1013518.132,381,Travel connection & Foraging & Nesting Site,Foraging & Travel connection,G1 & G2,R3,T1
196,196,196,197,627444.2627,1013568.372,505,Nesting Site & Travel connection & Foraging,Nesting Site,G1,R1 & R3 & R2,T1
197,197,197,198,627485.009,1013714.581,187,Nesting Site & Travel connection,Travel connection & Foraging,G1 & G3,R1 & R3 & R2,T2 & T1
198,198,198,199,627286.5613,1013539.648,657,Foraging,Nesting Site,G2 & G1 & G3,R3,T2
199,199,199,200,627112.3778,1013605.077,348,Foraging & Travel connection & Nesting Site,Foraging & Travel connection,G3 & G2 & G1,R1,T1 & T3 & T2
200,200,200,201,627083.4535,1013535.773,381,Nesting Site & Foraging & Travel connection,Travel connection,G2 & G3 & G1,R3 & R1,T1 & T3 & T2
201,201,201,202,627411.3609,1013568.869,568,Nesting Site & Travel connection,Nesting Site,G3 & G2,R3,T2 & T1
202,202,202,203,627437.5434,1013537.744,899,Nesting Site & Travel connection,Foraging,G2,R1 & R2 & R3,T2
203,203,203,204,627875.3879,1013795.989,110,Travel connection,Foraging & Travel connection & Nesting Site,G2,R2 & R3 & R1,T2 & T1
204,204,204,205,624721.0732,1013652.492,347,Travel connection & Foraging,Nesting Site & Foraging & Travel connection,G2,R2,T1 & T3
205,205,205,206,627542.7061,1013915.611,691,Travel connection,Foraging & Travel connection & Nesting Site,G1 & G3 & G2,R1,T2 & T3
206,206,206,207,627784.0622,1013984.354,383,Nesting Site & Travel connection & Foraging,Travel connection & Foraging & Nesting Site,G2 & G1 & G3,R2,T1 & T2
207,207,207,208,627851.2099,1013916.507,493,Nesting Site & Travel connection & Foraging,Nesting Site & Travel connection & Foraging,G2,R2,T3 & T2 & T1
208,208,208,209,627898.9285,1013893.611,337,Nesting Site,Travel connection & Foraging,G1,R2 & R1 & R3,T2 & T3 & T1
209,209,209,210,627922.2703,1013909.781,341,Travel connection,Nesting Site & Foraging & Travel connection,G3 & G1 & G2,R2 & R1,T2 & T3 & T1
